locid,Longitude,Latitude
270,140.34907,38.8825
271,140.5119,38.75348
272,140.32195,38.68794
273,140.25653,38.88582
274,140.22282,38.67214
275,140.22776,38.80848
276,140.16915,38.73357
277,140.1852,37.99113
278,140.05912,38.00164
279,139.75899,38.0581
280,140.09121,38.18219
281,140.11924,37.90837
282,139.84393,38.73038
283,140.30493,38.76316
284,140.26881,38.37782
285,140.28786,38.1464
286,140.37154,38.49151
287,140.03812,38.10209
288,140.39212,38.42365
289,140.42356,38.60593
290,140.15176,38.05927
291,140.25794,38.28798
292,140.27904,38.33043
293,140.31384,38.41937
294,139.98845,38.03263
295,139.85355,38.79958
296,139.92613,38.81664
297,139.90308,39.02467
298,140.45884,37.75523
299,139.91866,37.49691
300,140.36595,37.39334
301,140.86913,37.00856
302,140.24981,37.12342
303,140.34012,37.29605
304,139.86905,37.6472
305,140.92848,37.79504
306,140.4679,37.58305
307,140.62126,37.42032
308,140.9709,37.63858
309,140.52141,37.84577
310,140.55593,37.87713
311,140.608,37.65917
312,140.53946,37.65825
313,140.3743,37.53832
314,140.35498,37.24517
315,140.213,37.25081
316,139.87949,37.25561
317,139.36501,37.00212
318,139.37299,37.32392
319,139.68781,37.1771
320,140.02599,37.66798
321,139.64996,37.6091
322,139.99509,37.55856
323,140.1241,37.55717
324,139.82225,37.56005
325,139.88919,37.56252
326,140.33975,37.1938
327,140.38658,37.02676
328,140.42563,36.86802
329,140.43328,36.94418
330,140.50384,37.02706
331,140.45299,37.14555
332,140.42874,37.20925
333,140.56663,37.21194
334,140.4217,37.07936
335,140.56771,37.08779
336,140.4918,37.43903
337,140.62565,37.28016
338,140.99648,37.21638
339,140.99965,37.27516
340,141.00572,37.34529
341,140.80537,37.33765
342,141.00312,37.40491
343,141.0077,37.44671
344,140.96799,37.49538
345,140.76525,37.50362
346,140.91457,37.86528
347,140.73845,37.67508
348,139.7195,37.50042
349,139.65363,37.47082
350,139.50388,37.43022
351,139.62304,37.32799
352,139.84505,37.46895
353,140.15827,37.13322
354,140.30603,37.15277
355,140.36326,37.14215
356,140.45883,37.50332
358,138.71252,37.52987
359,138.86291,37.26557
360,138.81889,36.9123
361,138.65212,37.00242
362,138.62595,37.42013
363,139.56075,38.09228
364,139.45041,38.11702
365,139.46568,38.17215
366,139.55139,38.28173
367,139.55225,38.48078
368,139.25029,38.45853
369,138.579,37.36384
370,139.33953,37.94119
371,138.80167,37.30877
372,139.05358,37.65841
373,138.74397,37.12541
374,138.91863,37.52983
375,139.47349,38.21895
376,137.88361,37.02019
377,138.23335,36.99925
378,139.18017,37.73332
379,139.26069,37.8133
380,138.38915,38.06745
381,138.9679,37.23376
382,138.8668,37.06142
383,139.39279,38.07113
384,139.27059,37.97589
385,138.848,37.68752
386,139.0662,37.68906
387,139.44672,37.67592
388,137.42043,36.8181
389,136.97258,36.84976
390,137.46056,36.87105
391,136.9697,36.63376
392,136.8783,36.65628
393,136.90428,36.55894
394,137.30977,36.70015
395,137.36492,36.70056
396,137.33258,36.64866
397,137.50407,36.92239
398,137.5683,36.94236
399,137.42043,36.8181
400,136.97258,36.84976
401,137.46056,36.87105
402,136.9697,36.63376
403,136.8783,36.65628
404,136.90428,36.55894
405,137.30977,36.70015
406,137.36492,36.70056
407,137.33258,36.64866
408,137.50407,36.92239
409,137.5683,36.94236
410,136.06483,35.64298
411,135.75451,35.48686
412,136.51371,35.98165
413,136.49865,36.05977
414,136.24951,36.23503
415,136.17661,35.90168
416,136.21713,36.16276
417,136.34548,35.88616
418,136.1924,35.80245
419,136.11525,35.96432
420,135.94464,35.60519
421,135.55361,35.48722
422,135.62897,35.42297
423,135.86553,35.49119
424,136.06483,35.64298
425,135.75451,35.48686
426,136.51371,35.98165
427,136.49865,36.05977
428,136.24951,36.23503
429,136.17661,35.90168
430,136.21713,36.16276
431,136.34548,35.88616
432,136.1924,35.80245
433,138.8066,35.48547
434,138.91088,35.55095
435,138.95102,35.61196
436,138.44999,35.70611
437,138.34542,35.65876
438,138.38326,35.82684
439,138.65318,35.64059
440,139.09253,35.61922
441,138.74737,35.69416
442,138.49733,35.54689
443,138.45959,35.55975
444,138.45999,35.53715
445,138.34756,35.43885
446,138.44939,35.42397
447,138.46032,35.28068
448,139.01589,35.50972
449,138.85363,35.52241
450,138.84184,35.45329
451,138.87187,35.41821
452,138.70579,35.46943
453,138.73285,35.49433
454,138.95537,35.7507
455,138.9301,35.78653
456,138.67228,35.55029
457,138.8066,35.48547
458,138.91088,35.55095
459,138.95102,35.61196
460,138.44999,35.70611
461,138.34542,35.65876
462,138.38326,35.82684
463,138.65318,35.64059
464,139.09253,35.61922
465,138.74737,35.69416
466,138.49733,35.54689
467,138.45959,35.55975
468,138.45999,35.53715
469,138.34756,35.43885
470,138.44939,35.42397
471,138.46032,35.28068
472,139.01589,35.50972
473,138.85363,35.52241
474,138.84184,35.45329
475,138.87187,35.41821
476,138.70579,35.46943
477,138.73285,35.49433
478,138.95537,35.7507
479,138.9301,35.78653
480,137.82582,35.50337
481,138.31241,36.64689
482,138.4376,36.31894
483,137.95903,35.84165
484,137.9445,35.7274
485,137.84433,36.50806
486,138.37681,36.87011
487,138.18305,35.99952
488,137.95423,36.1282
489,138.45851,36.24583
490,138.11577,36.49821
491,138.37621,36.36018
492,137.88593,36.31598
493,138.48254,36.07872
494,138.58661,35.96669
495,138.48433,35.98418
496,138.55085,36.03293
497,138.56215,36.05534
498,138.47561,36.14266
499,138.60624,36.34031
500,138.51393,36.31408
501,138.30899,36.25678
502,138.1279,36.3653
503,138.23187,36.17249
504,138.08837,36.071
505,138.24432,35.91122
506,138.22565,35.96144
507,137.98937,35.98026
508,137.98285,35.91186
509,137.92685,35.67102
510,137.96593,35.86828
511,137.93838,35.62919
512,137.94078,35.75879
513,137.91321,35.59933
514,137.88072,35.55451
515,137.80102,35.31197
516,137.69966,35.49279
517,137.69357,35.4093
518,137.62833,35.31936
519,137.58921,35.24889
520,137.7876,35.39284
521,137.711,35.26503
522,137.84387,35.26711
523,137.84613,35.3615
524,137.887,35.50676
525,137.90528,35.54371
526,138.05111,35.5687
527,137.69926,35.7735
528,137.60507,35.59013
529,137.87114,36.12316
530,138.01581,36.41885
531,137.88505,36.41221
532,137.85925,36.41433
533,137.85862,36.6863
534,137.90139,36.79015
535,138.18827,36.44942
536,138.31878,36.69499
537,138.36812,36.67107
538,138.43009,36.74204
539,138.41374,36.84771
540,138.44853,36.92498
541,138.00761,36.56578
542,138.21027,36.80364
543,137.97566,36.61926
544,138.03556,36.61142
545,138.24312,36.74985
546,138.57051,36.95542
547,137.77722,35.94187
548,137.55508,35.80891
549,137.66586,35.68091
550,137.70263,35.8719
551,138.0428,36.45357
552,137.93575,36.42613
553,137.86407,36.19583
554,137.87892,36.1608
555,136.94717,35.83304
556,137.2673,35.82871
557,136.64276,35.22486
558,136.57146,35.29584
559,136.53451,35.36661
560,137.46832,35.51001
561,136.90406,35.55196
562,137.27209,35.36448
563,137.41045,35.41954
564,136.74213,35.60164
565,137.24557,36.32408
566,136.6055,35.61233
567,136.46651,35.35806
568,136.64479,35.2855
569,136.55822,35.49805
570,136.97626,35.48455
571,137.07431,35.49007
572,137.10981,35.55639
573,137.15295,35.4804
574,137.24802,35.59013
575,137.33937,35.64525
576,137.12456,35.43019
577,136.90515,36.23008
578,136.81095,35.00686
579,135.59257,34.32595
580,135.97893,33.72605
581,135.38337,34.15144
582,135.49579,34.28983
583,135.56671,34.27972
584,135.60059,34.21657
585,135.18344,34.00898
